seed,func,d,min
76,Ackley,10,1.38E-02
2815,Ackley,10,4.53E-02
7933,Ackley,10,2.57E-02
15435,Ackley,10,6.06E-03
25313,Ackley,10,1.34E-02
37573,Ackley,10,3.54E-02
52211,Ackley,10,4.58E-03
69250,Ackley,10,2.53E-02
88866,Ackley,10,5.52E-03
111075,Ackley,10,1.87E-02
135748,Ackley,10,4.05E-03
162835,Ackley,10,6.47E-03
192338,Ackley,10,5.04E-02
224320,Ackley,10,2.13E-03
258698,Ackley,10,2.41E-02
295490,Ackley,10,1.64E-02
334663,Ackley,10,1.77E-02
376271,Ackley,10,4.44E-16
420279,Ackley,10,3.18E-02
466706,Ackley,10,9.42E-03
515583,Ackley,10,2.01E-03
566913,Ackley,10,4.74E-02
620838,Ackley,10,1.09E-02
677318,Ackley,10,1.73E-03
736263,Ackley,10,4.24E-03
797723,Ackley,10,1.69E-02
861591,Ackley,10,2.90E-02
927870,Ackley,10,3.51E-02
996556,Ackley,10,5.29E-03
1067642,Ackley,10,2.53E-03
76,Ackley,20,8.21E-03
2815,Ackley,20,6.10E-02
7933,Ackley,20,1.26E-01
15435,Ackley,20,2.86E-02
25313,Ackley,20,1.01E-01
37573,Ackley,20,4.03E-02
52211,Ackley,20,5.58E-02
69250,Ackley,20,2.66E-02
88866,Ackley,20,1.25E-02
111075,Ackley,20,1.25E-02
135748,Ackley,20,6.49E-02
162835,Ackley,20,4.26E-01
192338,Ackley,20,3.88E-02
224320,Ackley,20,4.03E-02
258698,Ackley,20,1.50E-02
295490,Ackley,20,3.42E-03
334663,Ackley,20,5.47E-03
376271,Ackley,20,1.86E-01
420279,Ackley,20,1.64E-01
466706,Ackley,20,4.29E-03
515583,Ackley,20,2.59E-02
566913,Ackley,20,3.20E-02
620838,Ackley,20,6.62E-02
677318,Ackley,20,2.13E-02
736263,Ackley,20,6.57E-02
797723,Ackley,20,6.86E-02
861591,Ackley,20,6.88E-02
927870,Ackley,20,3.65E-01
996556,Ackley,20,4.05E-03
1067642,Ackley,20,3.06E-02
76,Dixon-Price,10,8.48E-06
2815,Dixon-Price,10,3.70E-06
7933,Dixon-Price,10,1.16E-06
15435,Dixon-Price,10,2.31E-07
25313,Dixon-Price,10,2.48E-08
37573,Dixon-Price,10,6.49E-07
52211,Dixon-Price,10,2.06E-06
69250,Dixon-Price,10,6.62E-06
88866,Dixon-Price,10,7.98E-06
111075,Dixon-Price,10,3.31E-07
135748,Dixon-Price,10,6.43E-07
162835,Dixon-Price,10,8.38E-09
192338,Dixon-Price,10,2.23E-06
224320,Dixon-Price,10,1.67E-06
258698,Dixon-Price,10,1.52E-09
295490,Dixon-Price,10,1.28E-06
334663,Dixon-Price,10,2.51E-07
376271,Dixon-Price,10,4.56E-08
420279,Dixon-Price,10,7.16E-07
466706,Dixon-Price,10,3.51E-07
515583,Dixon-Price,10,4.10E-07
566913,Dixon-Price,10,2.06E-06
620838,Dixon-Price,10,2.66E-05
677318,Dixon-Price,10,1.19E-07
736263,Dixon-Price,10,9.30E-08
797723,Dixon-Price,10,3.35E-08
861591,Dixon-Price,10,1.01E-08
927870,Dixon-Price,10,3.70E-06
996556,Dixon-Price,10,1.65E-05
1067642,Dixon-Price,10,3.37E-06
76,Dixon-Price,20,2.97E-07
2815,Dixon-Price,20,9.53E-07
7933,Dixon-Price,20,2.99E-05
15435,Dixon-Price,20,9.04E-05
25313,Dixon-Price,20,2.96E-05
37573,Dixon-Price,20,2.75E-06
52211,Dixon-Price,20,1.01E-06
69250,Dixon-Price,20,2.20E-06
88866,Dixon-Price,20,3.26E-05
111075,Dixon-Price,20,4.64E-06
135748,Dixon-Price,20,8.34E-07
162835,Dixon-Price,20,2.15E-04
192338,Dixon-Price,20,1.31E-05
224320,Dixon-Price,20,2.62E-06
258698,Dixon-Price,20,2.62E-06
295490,Dixon-Price,20,3.37E-08
334663,Dixon-Price,20,5.57E-06
376271,Dixon-Price,20,2.77E-05
420279,Dixon-Price,20,1.08E-05
466706,Dixon-Price,20,9.39E-05
515583,Dixon-Price,20,3.70E-06
566913,Dixon-Price,20,3.36E-06
620838,Dixon-Price,20,6.61E-06
677318,Dixon-Price,20,3.75E-07
736263,Dixon-Price,20,1.29E-04
797723,Dixon-Price,20,8.38E-06
861591,Dixon-Price,20,7.95E-05
927870,Dixon-Price,20,5.95E-05
996556,Dixon-Price,20,1.91E-05
1067642,Dixon-Price,20,5.06E-05
76,Griewank,10,1.00E+00
2815,Griewank,10,1.00E+00
7933,Griewank,10,1.00E+00
15435,Griewank,10,1.00E+00
25313,Griewank,10,1.00E+00
37573,Griewank,10,1.00E+00
