seed,func,d,min
42,Ackley,10,1.832845544305478e+01
42,Griewank,10,1.000341178043817e+00
42,Rastrigin,10,3.800035612130984e+01
42,Ackley,20,1.998687032792392e+01
42,Griewank,20,1.931002028450108e+00
42,Sphere,10,9.937530790918383e-05
42,Rastrigin,20,1.289260339570882e+02
42,Rotated Hyper-Ellipsoid,10,3.219980609277203e-11
42,Dixon-Price,10,8.692640670413285e-02
42,Sphere,20,2.711739952733601e-01
42,Sum Squares,10,5.944178341376922e-05
42,Dixon-Price,20,1.272466218668630e+01
42,Trid,10,-2.099999864456768e+02
42,Sum Squares,20,3.094211704170136e-01
42,Rotated Hyper-Ellipsoid,20,1.256653034390695e+02
42,Trid,20,-1.370527748010310e+03
42,Rosenbrock,10,3.209243923526687e-02
42,Rosenbrock,20,3.529870692601681e+02
58,Ackley,10,8.262959248390094e-01
58,Griewank,10,1.000001274426824e+00
42,Levy,10,3.068255556258931e-04
58,Ackley,20,1.554300362240346e+01
58,Rastrigin,10,2.139173042179888e+01
58,Griewank,20,4.797799201907694e+00
42,Levy,20,8.195078714342010e+00
58,Rotated Hyper-Ellipsoid,10,7.871712839125466e-04
58,Rastrigin,20,1.111791113614933e+02
58,Sphere,10,3.712037169238370e-07
58,Dixon-Price,10,5.000001722625488e-01
58,Sphere,20,1.106189193316547e+00
58,Dixon-Price,20,3.417409558752581e+01
58,Sum Squares,10,4.061033538828843e-07
58,Sum Squares,20,3.514101344417389e+01
58,Trid,10,-2.099999957660748e+02
58,Rotated Hyper-Ellipsoid,20,2.772495324741536e+03
58,Rosenbrock,10,3.931279584774485e-01
58,Trid,20,-1.490864471500521e+03
58,Rosenbrock,20,9.682120234817081e+02
76,Ackley,10,5.941843930947108e+00
76,Griewank,10,1.000005765668812e+00
58,Levy,10,1.593390128108250e+00
76,Ackley,20,1.699478025840045e+01
76,Rastrigin,10,4.217542732884007e+01
76,Griewank,20,1.027011276305613e+00
58,Levy,20,2.225657391151823e+01
76,Rotated Hyper-Ellipsoid,10,1.289604279257832e-03
76,Rastrigin,20,1.359297072623769e+02
76,Sphere,10,1.679372761058644e-06
76,Dixon-Price,10,5.000057575713699e-01
76,Sphere,20,7.867604462064980e-03
76,Sum Squares,10,6.486776587594731e-04
76,Dixon-Price,20,1.773186959680757e+01
76,Trid,10,-2.099967624724723e+02
76,Sum Squares,20,6.362140064789180e+00
76,Trid,20,-1.502572989105392e+03
76,Rotated Hyper-Ellipsoid,20,1.954560763041597e+02
76,Rosenbrock,10,3.685636084732582e-02
96,Ackley,10,5.718289792331355e-04
76,Rosenbrock,20,8.567052904179295e+01
96,Griewank,10,1.010613058462983e+00
96,Ackley,20,1.516886872380182e+01
76,Levy,10,1.713632027829471e-05
96,Rastrigin,10,2.103326358098937e+01
96,Griewank,20,1.526766435503784e+00
96,Rotated Hyper-Ellipsoid,10,1.008013691804640e-02
76,Levy,20,7.010588900685676e-01
96,Rastrigin,20,1.231188684668439e+02
96,Sphere,10,3.091277330800301e-03
96,Dixon-Price,10,5.000029833646811e-01
96,Sphere,20,1.534318449652257e-01
96,Sum Squares,10,1.101253853098423e-04
96,Dixon-Price,20,7.506781180086561e-01
96,Trid,10,-2.099048848364955e+02
96,Sum Squares,20,1.262691171350098e+01
96,Trid,20,-1.406982656419219e+03
96,Rotated Hyper-Ellipsoid,20,4.023348461899892e+01
96,Rosenbrock,10,9.585119075709811e-02
116,Ackley,10,5.073636497611243e+00
96,Rosenbrock,20,2.658087954547956e+02
96,Levy,10,6.817258344910463e+00
116,Ackley,20,1.834788881331580e+01
116,Griewank,10,1.000000000503528e+00
116,Rastrigin,10,1.331697850386796e+01
96,Levy,20,5.538384255574525e+00
116,Griewank,20,2.862498748548219e+00
116,Rastrigin,20,1.339397086053846e+02
116,Rotated Hyper-Ellipsoid,10,7.694964052038807e-08
116,Sphere,10,1.466631387198876e-10
116,Sphere,20,5.424920799326942e-01
116,Dixon-Price,10,5.000000719149745e-01
116,Sum Squares,10,3.878720608873688e-03
116,Dixon-Price,20,5.191843443527988e+01
116,Trid,10,-2.097443223703276e+02
116,Sum Squares,20,3.448536311222659e-01
116,Rosenbrock,10,3.219404470043839e+00
116,Trid,20,-1.254651689079692e+03
116,Rotated Hyper-Ellipsoid,20,7.124787578301468e+02
136,Ackley,10,8.131145787809068e+00
116,Rosenbrock,20,2.088099500644564e+01
116,Levy,10,1.177378433695887e-01
136,Griewank,10,1.000050007829729e+00
136,Ackley,20,1.331601630557162e+01
136,Rastrigin,10,3.183918352211394e+01
116,Levy,20,1.526911944734910e+01
136,Griewank,20,1.439003492687149e+00
136,Sphere,10,1.456583612939475e-05
136,Rotated Hyper-Ellipsoid,10,4.885211093051029e-05
136,Rastrigin,20,1.230043552412566e+02
136,Dixon-Price,10,5.000002209554805e-01
136,Sphere,20,1.278690350966446e-01
136,Sum Squares,10,3.552565057089175e-03
136,Dixon-Price,20,5.095008150115945e-01
136,Trid,10,-2.099989940301812e+02
136,Sum Squares,20,6.986712733320626e+00
136,Trid,20,-1.418398843146293e+03
136,Rotated Hyper-Ellipsoid,20,6.801768316662054e+02
136,Rosenbrock,10,3.683586282799066e+00
157,Ackley,10,4.042808864288894e+00
136,Rosenbrock,20,2.159172052897720e+01
136,Levy,10,2.237078349507032e-03
157,Griewank,10,1.003880888371939e+00
157,Ackley,20,3.485733190124976e+00
157,Rastrigin,10,4.852898440184718e+01
136,Levy,20,1.926817628728120e+00
157,Griewank,20,1.089474297858571e+00
157,Sphere,10,1.130390668192947e-03
157,Rotated Hyper-Ellipsoid,10,1.345794183708762e-03
157,Rastrigin,20,1.356491706437721e+02
157,Dixon-Price,10,5.000362867464428e-01
157,Sphere,20,2.606127815315274e-02
157,Sum Squares,10,5.195999014239176e-14
157,Sum Squares,20,3.543097042231594e+01
157,Trid,10,-2.099999980205303e+02
157,Dixon-Price,20,5.404860407730905e-01
157,Rotated Hyper-Ellipsoid,20,3.073840019397584e+01
157,Trid,20,-1.154422047912929e+03
157,Rosenbrock,10,1.321751218155849e-02
157,Rosenbrock,20,1.028037231351647e+02
178,Ackley,10,1.108410792363682e+00
178,Griewank,10,1.005207224597642e+00
157,Levy,10,9.546270520953949e-09
178,Ackley,20,7.378563973330852e+00
178,Rastrigin,10,3.439097807590456e+01
178,Griewank,20,4.980172556682930e+00
157,Levy,20,1.582147398518651e+01
178,Rotated Hyper-Ellipsoid,10,5.192449521474064e-02
178,Rastrigin,20,9.267253507325853e+01
178,Sphere,10,1.516714094360134e-03
178,Dixon-Price,10,5.000010612544366e-01
178,Sphere,20,1.159309282998988e+00
178,Sum Squares,10,1.056085637187257e-07
178,Dixon-Price,20,7.776583663054243e+00
178,Trid,10,-2.099999974449547e+02
178,Sum Squares,20,8.114452305293533e+00
178,Rosenbrock,10,1.528830502460894e-02
178,Trid,20,-1.396993314175605e+03
178,Rotated Hyper-Ellipsoid,20,1.568678684883422e+03
199,Ackley,10,1.129744338202648e+01
178,Rosenbrock,20,2.523685022973897e+01
199,Griewank,10,1.000000212511446e+00
199,Ackley,20,1.119108662018095e+01
178,Levy,10,4.754228536061620e-01
199,Rastrigin,10,4.429436703781201e+01
199,Griewank,20,1.179849145032024e+01
178,Levy,20,2.759291023407774e+00
199,Rastrigin,20,1.243096509461069e+02
199,Rotated Hyper-Ellipsoid,10,1.602997913949611e-05
199,Sphere,10,6.189844486290176e-08
199,Dixon-Price,10,1.996210021265156e-01
199,Sphere,20,3.145288603058608e+00
199,Sum Squares,10,3.152218285454787e-03
199,Dixon-Price,20,4.133431608799355e+00
199,Trid,10,-2.099999999999791e+02
199,Sum Squares,20,2.516489499875325e+00
199,Rosenbrock,10,1.463913875063965e-01
199,Rotated Hyper-Ellipsoid,20,8.942348789616437e+00
199,Trid,20,-1.387770926696132e+03
221,Ackley,10,2.044988326276571e+00
199,Rosenbrock,20,1.908456717604925e+01
221,Griewank,10,1.009708483672198e+00
221,Ackley,20,1.653527260587109e+01
221,Rastrigin,10,3.880351068499297e+01
221,Griewank,20,1.829311158573948e+00
199,Levy,10,2.017894345792784e-04
199,Levy,20,2.908690091111574e+00
221,Sphere,10,2.827800826405246e-03
221,Rastrigin,20,1.489237943460678e+02
221,Rotated Hyper-Ellipsoid,10,1.280038769417464e-03
221,Sphere,20,2.415543826146770e-01
221,Dixon-Price,10,5.000000000300769e-01
221,Sum Squares,10,1.037217188668193e-06
221,Dixon-Price,20,4.557489750454925e+00
221,Trid,10,-2.099967542181939e+02
221,Sum Squares,20,1.515047743676413e+01
221,Rotated Hyper-Ellipsoid,20,2.539350548778700e+02
221,Trid,20,-1.519326474055153e+03
221,Rosenbrock,10,3.689726081796859e-01
243,Ackley,10,1.758090840226910e+01
221,Rosenbrock,20,7.505700100449516e+01
243,Griewank,10,1.000022534039863e+00
221,Levy,10,9.778998835471818e-02
243,Ackley,20,1.064303295741810e+01
243,Rastrigin,10,4.726342119611502e+01
243,Griewank,20,3.227915499663732e+00
221,Levy,20,2.668629843455637e+01
243,Rastrigin,20,8.456265788037122e+01
243,Sphere,10,6.563514828566801e-06
243,Rotated Hyper-Ellipsoid,10,2.662163392909274e-10
243,Dixon-Price,10,5.000007009770656e-01
243,Sphere,20,6.489274230487215e-01
243,Sum Squares,10,6.941448767261030e-04
243,Dixon-Price,20,1.460723086450469e+00
243,Sum Squares,20,1.890202972901689e+01
243,Trid,10,-2.099995852465727e+02
243,Trid,20,-1.396213231133079e+03
243,Rosenbrock,10,5.521245930203244e-03
243,Rotated Hyper-Ellipsoid,20,5.831746266530185e+00
243,Rosenbrock,20,4.627682044234223e+01
243,Levy,10,2.405169188111729e-01
265,Ackley,10,7.842558215233706e-01
265,Griewank,10,1.000125001073122e+00
265,Ackley,20,4.656112628894306e+00
265,Rastrigin,10,2.791765451798690e+01
265,Griewank,20,5.399018177722070e+00
265,Rastrigin,20,1.108765674881906e+02
265,Rotated Hyper-Ellipsoid,10,2.181385774167595e-10
243,Levy,20,2.365701195230963e+00
265,Sphere,10,3.640920145823769e-05
265,Sphere,20,1.281306912423081e+00
265,Dixon-Price,10,5.000003670566201e-01
265,Sum Squares,10,3.605965733464321e-06
265,Dixon-Price,20,1.127179211627364e+00
265,Trid,10,-2.100000000000018e+02
265,Sum Squares,20,2.729854550386213e+01
265,Rotated Hyper-Ellipsoid,20,1.716623355499869e+02
265,Rosenbrock,10,6.004107748182826e-03
265,Trid,20,-1.513248348608060e+03
265,Rosenbrock,20,6.439639533833578e+01
290,Ackley,10,1.899240601428215e+01
290,Griewank,10,1.001235964512436e+00
265,Levy,10,6.549556026532160e+00
290,Ackley,20,1.333186196222906e+01
290,Rastrigin,10,6.162801010638726e+01
290,Griewank,20,2.442376562190866e+00
265,Levy,20,2.090785239191124e+01
290,Rastrigin,20,1.458101512421626e+02
290,Rotated Hyper-Ellipsoid,10,7.746626023300489e-04
290,Sphere,10,3.600007568310470e-04
290,Sphere,20,4.201226239099590e-01
290,Dixon-Price,10,5.000010456172076e-01
290,Sum Squares,10,9.335870382024476e-05
290,Dixon-Price,20,7.500508033215645e-01
290,Trid,10,-2.099801133239962e+02
290,Sum Squares,20,1.429659475812103e+00
290,Rotated Hyper-Ellipsoid,20,1.566029185926905e+03
290,Trid,20,-8.182048021178198e+02
290,Rosenbrock,10,2.302433630054365e-01
316,Ackley,10,3.550141853939026e-02
290,Rosenbrock,20,2.345730188124927e+01
316,Griewank,10,1.000018933884197e+00
316,Ackley,20,1.238980950103180e+01
290,Levy,10,1.883186697529541e+00
316,Griewank,20,7.561484038313753e+00
316,Rastrigin,10,1.997839676659376e+01
290,Levy,20,4.110361383540479e+00
316,Sphere,10,5.514893487818803e-06
